Texas,Wilbarger County TX,5,6,65.51
Texas,Willacy County TX,5,6,64.78
Utah,Box Elder County UT,5,2,60.34
Utah,Iron County UT,5,4,66.70
Utah,Rich County UT,7,8,62.84
Vermont,Bennington County VT,5,6,72.19
Vermont,Lamoille County VT,7,8,75.70
Vermont,Washington County VT,5,4,78.06
Virginia[E],Accomack County VA,9,8,68.28
Virginia[E],Bland County VA,7,8,82.06
Virginia[E],Charlotte County VA,7,8,68.02
Virginia[E],Cumberland County VA,1,8,69.32
Virginia[E],Henry County VA,5,4,72.85
Virginia[E],King and Queen County VA,1,8,72.61
Virginia[E],Lee County VA,7,8,74.11
Virginia[E],Louisa County VA,1,8,73.91
Virginia[E],Madison County VA,7,8,67.82
Virginia[E],Patrick County VA,7,8,74.47
Virginia[E],Surry County VA,1,8,73.89
Virginia[E],Westmoreland County VA,11,6,69.63
Virginia[E],Martinsville city VA,5,4,65.78
Washington,Garfield County WA,7,8,71.90
Washington,Grays Harbor County WA,5,4,71.48
Washington,Island County WA,3,4,76.52
Washington,Kittitas County WA,3,4,85.61
Washington,Lewis County WA,5,4,71.51
Washington,Lincoln County WA,7,8,71.28
Washington,Mason County WA,5,4,67.38
Washington,Pend Oreille County WA,7,2,70.36
Washington,Wahkiakum County WA,7,8,68.84
Washington,Whitman County WA,5,4,92.02
West Virginia,Barbour County WV,9,6,72.67
West Virginia,Braxton County WV,7,8,73.04
West Virginia,Calhoun County WV,7,8,76.66
West Virginia,Greenbrier County WV,11,6,72.13
West Virginia,Hardy County WV,7,6,68.23
West Virginia,Marion County WV,5,4,71.49
West Virginia,Mason County WV,5,6,70.28
West Virginia,Monroe County WV,7,8,70.82
West Virginia,Pendleton County WV,7,8,72.68
West Virginia,Ritchie County WV,7,8,70.44
West Virginia,Roane County WV,7,6,70.58
West Virginia,Summers County WV,9,6,75.83
West Virginia,Taylor County WV,5,6,73.23
Wisconsin,Adams County WI,7,8,76.64
Wisconsin,Bayfield County WI,7,8,72.80
Wisconsin,Dodge County WI,3,4,74.75
Wisconsin,Dunn County WI,5,6,80.30
Wisconsin,Grant County WI,5,6,76.74
Wisconsin,Green County WI,5,2,71.26
Wisconsin,Jefferson County WI,3,4,72.84
Wisconsin,Lafayette County WI,7,8,63.87
Wisconsin,Lincoln County WI,5,6,78.27
Wisconsin,Manitowoc County WI,5,4,74.53
Wisconsin,Marinette County WI,5,6,73.94
Wisconsin,Marquette County WI,7,8,71.64
Wisconsin,Menominee County WI,7,8,44.53
Wisconsin,Pepin County WI,7,8,68.83
Wisconsin,Portage County WI,5,4,82.55
Wisconsin,Sauk County WI,5,4,69.28
Wisconsin,Trempealeau County WI,7,6,67.04
Wisconsin,Walworth County WI,3,4,76.56
Wisconsin,Wood County WI,5,4,72.30
Wyoming,Albany County WY,5,4,88.90
